"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Sep 02 2011","2455807","336657601","3.89","< 4.64e-8","-","-","-","94.56","1e-8","0","bin161.log"
"Sep 09 2011","2455814","337262401","16.31","2.14e-8","1.20e-8","-1.72","-","88.71","1e-8","0","bin162.log"
"Sep 16 2011","2455821","337867201","73.27","6.29e-8","1.72e-8","-1.72","-","82.96","1e-8","0","bin163.log"
"Sep 23 2011","2455828","338472001","48.37","4.64e-8","1.60e-8","-1.72","-","77.27","1e-8","0","bin164.log"
"Sep 30 2011","2455835","339076801","58.17","5.79e-8","1.59e-8","-1.72","-","71.61","1e-8","0","bin165.log"
"Oct 07 2011","2455843","339681601","25.11","3.07e-8","1.21e-8","-1.72","-","65.96","1e-8","0","bin166.log"
"Oct 14 2011","2455850","340286401","31.4","3.23e-8","1.23e-8","-1.72","-","60.29","1e-8","0","bin167.log"
"Oct 21 2011","2455857","340891201","80.14","6.78e-8","1.76e-8","-1.72","-","54.56","1e-8","0","bin168.log"
"Oct 28 2011","2455864","341496001","56.74","4.54e-8","1.37e-8","-1.72","-","48.75","1e-8","0","bin169.log"
"Nov 04 2011","2455870","342100801","132.51","9.09e-8","1.87e-8","-1.72","-","42.87","1e-8","0","bin170.log"
"Nov 11 2011","2455877","342705601","108.48","6.60e-8","1.70e-8","-1.72","-","36.91","1e-8","0","bin171.log"
"Nov 18 2011","2455884","343310401","64.72","6.37e-8","1.74e-8","-1.72","-","30.95","1e-8","0","bin172.log"
"Nov 25 2011","2455891","343915201","86.69","6.44e-8","1.65e-8","-1.72","-","25.14","1e-8","0","bin173.log"
"Dec 02 2011","2455899","344520001","119.44","9.57e-8","1.88e-8","-1.72","-","19.84","1e-8","0","bin174.log"
"Dec 09 2011","2455906","345124801","147.9","1.04e-7","2.01e-8","-1.72","-","15.89","1e-8","0","bin175.log"
"Dec 16 2011","2455913","345729601","107.01","6.91e-8","1.67e-8","-1.72","-","14.75","1e-8","0","bin176.log"
"Dec 23 2011","2455920","346334401","149.74","8.67e-8","1.75e-8","-1.72","-","17.21","1e-8","0","bin177.log"
"Dec 30 2011","2455927","346939201","249.13","1.24e-7","2.10e-8","-1.72","-","22.21","1e-8","0","bin178.log"
"Jan 06 2012","2455933","347544001","181.51","1.35e-7","2.20e-8","-1.72","-","28.49","1e-8","0","bin179.log"
"Jan 13 2012","2455940","348148801","37.87","4.70e-8","1.47e-8","-1.72","-","35.35","1e-8","0","bin180.log"
"Jan 20 2012","2455947","348753601","156.12","9.78e-8","1.90e-8","-1.72","-","42.48","1e-8","0","bin181.log"
"Jan 27 2012","2455954","349358401","178.75","1.02e-7","1.84e-8","-1.72","-","49.71","1e-8","0","bin182.log"
"Feb 03 2012","2455960","349963201","81.45","8.01e-8","1.82e-8","-1.72","-","56.95","1e-8","0","bin183.log"
"Feb 10 2012","2455967","350568001","121.67","8.11e-8","1.73e-8","-1.72","-","64.15","1e-8","0","bin184.log"
"Feb 17 2012","2455974","351172801","33.92","4.05e-8","1.33e-8","-1.72","-","71.28","1e-8","0","bin185.log"
"Feb 24 2012","2455981","351777601","68.48","5.52e-8","1.51e-8","-1.72","-","78.33","1e-8","0","bin186.log"
"Mar 02 2012","2455990","352382401","63.35","4.86e-8","1.45e-8","-1.72","-","85.30","1e-8","0","bin187.log"
"Mar 09 2012","2455997","352987201","163.34","8.47e-8","1.55e-8","-1.72","-","92.19","1e-8","0","bin188.log"
"Mar 16 2012","2456004","353592001","123.58","9.36e-8","1.97e-8","-1.72","-","99.03","1e-8","0","bin189.log"
"Mar 23 2012","2456011","354196801","77.09","6.81e-8","1.73e-8","-1.72","-","105.81","1e-8","0","bin190.log"
"Mar 30 2012","2456018","354801601","108.68","8.05e-8","1.80e-8","-1.72","-","112.57","1e-8","0","bin191.log"
"Apr 06 2012","2456024","355406401","18.05","2.51e-8","1.06e-8","-1.72","-","119.32","1e-8","0","bin192.log"
"Apr 13 2012","2456031","356011201","52.52","4.51e-8","1.35e-8","-1.72","-","126.09","1e-8","0","bin193.log"
"Apr 20 2012","2456038","356616001","36.38","4.32e-8","1.58e-8","-1.72","-","132.88","1e-8","0","bin194.log"
"Apr 27 2012","2456045","357220801","62.8","6.17e-8","1.72e-8","-1.72","-","139.72","1e-8","0","bin195.log"
"May 04 2012","2456053","357825601","8.6","1.79e-8","1.03e-8","-1.72","-","146.60","1e-8","0","bin196.log"
"May 11 2012","2456060","358430401","21.19","2.00e-8","1.04e-8","-1.72","-","153.53","1e-8","0","bin197.log"
"May 18 2012","2456067","359035201","57.3","5.96e-8","1.76e-8","-1.72","-","160.47","1e-8","0","bin198.log"
"May 25 2012","2456074","359640001","73.2","6.37e-8","1.63e-8","-1.72","-","167.31","1e-8","0","bin199.log"
"Jun 01 2012","2456080","360244801","46.35","5.22e-8","1.55e-8","-1.72","-","173.42","1e-8","0","bin200.log"
"Jun 08 2012","2456087","360849601","115.23","8.69e-8","1.97e-8","-1.72","-","174.45","1e-8","0","bin201.log"
"Jun 15 2012","2456094","361454401","140.33","1.10e-7","2.10e-8","-1.72","-","168.81","1e-8","0","bin202.log"
"Jun 22 2012","2456101","362059201","106.48","7.84e-8","1.87e-8","-1.72","-","161.93","1e-8","0","bin203.log"
"Jun 29 2012","2456108","362664001","59.86","5.15e-8","1.48e-8","-1.72","-","154.85","1e-8","0","bin204.log"
"Jul 06 2012","2456116","363268801","107.27","7.02e-8","1.84e-8","-1.72","-","147.77","1e-8","0","bin205.log"
"Jul 13 2012","2456123","363873601","40.05","5.10e-8","1.53e-8","-1.72","-","140.74","1e-8","0","bin206.log"
"Jul 20 2012","2456130","364478401","100.64","5.53e-8","1.44e-8","-1.72","-","133.84","1e-8","0","bin207.log"
"Jul 27 2012","2456137","365083201","47.17","4.87e-8","1.50e-8","-1.72","-","127.07","1e-8","0","bin208.log"
"Aug 03 2012","2456143","365688001","27.3","4.23e-8","1.49e-8","-1.72","-","120.45","1e-8","0","bin209.log"
"Aug 10 2012","2456150","366292801","76.01","8.25e-8","2.00e-8","-1.72","-","114.01","1e-8","0","bin210.log"
"Aug 17 2012","2456157","366897601","17.1","2.99e-8","1.40e-8","-1.72","-","107.72","1e-8","0","bin211.log"
"Aug 24 2012","2456164","367502401","56.75","5.99e-8","1.68e-8","-1.72","-","101.59","1e-8","0","bin212.log"
"Aug 31 2012","2456171","368107201","20.58","4.02e-8","1.50e-8","-1.72","-","95.61","1e-8","0","bin213.log"
"Sep 07 2012","2456177","368712001","80.37","6.89e-8","1.73e-8","-1.72","-","89.74","1e-8","0","bin214.log"
"Sep 14 2012","2456184","369316801","84.97","6.51e-8","1.61e-8","-1.72","-","83.97","1e-8","0","bin215.log"
"Sep 21 2012","2456191","369921601","70.73","5.48e-8","1.73e-8","-1.72","-","78.27","1e-8","0","bin216.log"
"Sep 28 2012","2456198","370526401","14.77","4.55e-8","2.45e-8","-1.72","-","72.62","1e-8","0","bin217.log"
"Oct 05 2012","2456206","371131201","41.37","5.25e-8","1.75e-8","-1.72","-","66.97","1e-8","0","bin218.log"
"Oct 12 2012","2456213","371736001","73.46","7.78e-8","1.89e-8","-1.72","-","61.30","1e-8","0","bin219.log"
"Oct 19 2012","2456220","372340801","114.38","8.66e-8","1.77e-8","-1.72","-","55.58","1e-8","0","bin220.log"
"Oct 26 2012","2456227","372945601","78.09","7.08e-8","1.82e-8","-1.72","-","49.79","1e-8","0","bin221.log"
